anio,canal_transitos,canal_ingresos,imae,deuda_pib
2000,13200,770,58,55.8
2001,12800,760,59,60.2
2002,13000,790,60,59.3
2003,13150,850,63,58.8
2004,14000,980,68,61.2
2005,14200,1130,73,61.7
2006,14150,1290,79,56.9
2007,14700,1460,100,49.4
2008,14400,1670,109,41.6
2009,14300,1760,110,41.6
2010,14200,1880,117,40.5
2011,14700,2160,130,37.8
2012,14500,2410,143,36.0
2013,13700,2410,153,35.6
2014,13480,2630,161,36.6
2015,13870,2610,170,36.0
2016,13110,2610,178,35.3
2017,13550,2710,188,35.3
2018,13800,2730,195,37.3
2019,13795,2600,201,42.2
2020,13369,2500,165,66.3
2021,13342,2900,191,62.2
2022,14239,3300,212,61.2
2023,14080,3350,228,60.6
2024,11240,4900,235,59.1
